Rank,Release,Theaters,Total Gross,Release Date,Distributor
248,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,692,1134786,11/12/2020,Fathom Events
249,My Neighbor Totoro2019 Re-release,767,1105564,8/25/2020,Fathom Events
250,Playmobil: The Movie,2337,1115008,12/6/2020,STX Entertainment
251,Mortal Engines,3103,15951040,12/14/2020,Universal Pictures
252,Bennett's War,970,1056416,8/30/2020,-
253,Princess Mononoke2019 Re-release,752,1046446,11/17/2020,Fathom Events
254,Luka Chuppi,139,1042905,3/1/2020,Viva Pictures
255,The Souvenir,145,1036737,5/17/2020,A24
256,Noah,669,1035603,4/9/2020,Fathom Events
257,El Coyote,297,1101470,10/4/2020,-
258,Perfect Strangers,132,1014507,1/11/2020,Pantelion Films
259,Marianne & Leonard: Words of Love,101,1012034,7/5/2020,Roadside Attractions
260,Kiki's Delivery Service2019 Re-release,753,1004057,7/28/2020,Fathom Events
261,BlacKkKlansman,1914,49275340,8/10/2020,Focus Features
262,Jesus Is King,372,973000,10/25/2020,IMAX
263,Rush: Cinema Strangiato 2019,494,960073,8/21/2020,Trafalgar Releasing
264,The Fighting Preacher,37,954641,7/24/2020,Purdie Distribution
265,Toni Morrison: The Pieces I Am,78,903018,6/21/2020,Magnolia Pictures
266,A Hidden Life,151,1730597,12/13/2020,Fox Searchlight Pictures
267,Between Me and My Mind,488,875191,7/17/2020,Trafalgar Releasing
268,Howl's Moving Castle2019 Re-release,748,865647,4/7/2020,Fathom Events
269,Pati Patni Aur Woh,130,874044,12/6/2020,Eros International
270,Steel Magnolias2019 Re-release,689,855421,5/19/2020,Fathom Events
271,Woman at War,66,847495,3/1/2020,Magnolia Pictures
272,Alien2019 Re-release,682,833658,10/13/2020,Fathom Events
273,Climax,217,817339,3/1/2020,A24
274,Transit,72,815290,3/1/2020,Music Box Films
275,One Piece: Stampede,541,1298528,10/24/2020,FUNimation Entertainment
276,Chonda Pierce: Unashamed,783,787979,5/7/2020,Fathom Events
277,Student of the Year 2,190,778566,5/10/2020,FIP
278,The Church,252,772000,5/24/2020,Indican Pictures
279,Patterns of Evidence: Moses Controversy,896,765361,3/14/2020,Fathom Events
280,I Love Lucy: A Colorized Celebration,634,754323,8/6/2020,Fathom Events
281,Joni 75: A Birthday Celebration,405,752205,2/7/2020,Trafalgar Releasing
282,The Game Changers,610,739711,9/16/2020,Fathom Events
283,David Crosby: Remember My Name,67,732793,7/19/2020,Sony Pictures Classics
284,More Than Blue,40,722669,3/15/2020,China Lion Film Distribution
285,Honeyland,56,815082,7/26/2020,Neon
286,Where's My Roy Cohn?,66,705274,9/20/2020,Sony Pictures Classics
287,Non-Fiction,89,704919,5/3/2020,IFC Films
288,The Captain,47,706572,10/18/2020,Well Go USA Entertainment
